#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
8781194.66328923    12264705.1675098   1020601.36847383    1882166.03487544
18858425.0436328    30592234.4438442   3867291.30239505    8062042.16174178
160073371.505471    201620165.125061   20659570.4368642    45064803.2013332
4457133.85065023    4417624.09992539   13300570.4999694    24297552.6475201
2154013.37970385    2198888.51442717   6802536.83327332    12215871.2741195
5623461.16781562    8307726.32153961   429492.083492254    770704.070359522
7576000.18489823    10767121.4709094   1619636.01549309    2981190.47581285
5324961.35595139    7174993.67446801   1704416.52153428    3138095.0116168
5895220.89531051    8324413.17292867   1397876.7233821    2534365.66969039
25868102.9372745    34310392.6877338   2417785.63391748    4782458.92872379
40765805.367888    63085016.7673375   4725324.15733808    10294976.9085961
9258978.02431023    13100801.890753   1962602.21275721    3579714.85111175
7104833.52761686    10040165.9216579   607457.170912544    1143786.26068585
39190331.0972164    55630789.0293771   3893686.86892244    8046353.18536394
6533240.80075003    8936155.35321774   836671.428410397    1574113.77114637
18139295.4457818    26641972.4753407   2097855.11905118    4058547.23816255
6019177.52080738    7492052.82555771   1883010.20299599    3720557.60665749
6514378.05560884    9232330.62357157   402522.93428808    808088.887414275
10526626.8971396    14376535.137992   1964456.51406916    3647279.74556781
59309016.1124232    86509983.9303668   6892200.24332594    15137673.9029543
13978146.1362466    19618198.5772979   1203128.73670735    2419249.71084406
1547443.11097623    2220476.83914884   414184.531766867    728647.105683042
107991953.805647    163579444.692073   16009168.9492828    37210162.067065
7776440.96409385    10625580.9811608   183575.058339974    332847.321932861
4510037.50814342    6401119.79836164   671321.012693938    1218012.86093023
22817067.5601108    31136291.1067072   4685783.29643229    7718330.25999861
267644604.572985    365039175.030708   54724087.3196077    123077328.55134
19093581.6863252    26043307.3074319   1114073.18845232    2186102.29510443
74260690.3445619    112151988.454447   12779539.771848    28300517.0865217
8329270.35343438    11345824.2955377   384850.407544077    704690.683314184
68983.8884768509    73461.8814404454   0    0
156783896.897457    242926168.555092   32910411.4725179    79421712.6737958
3574826.46583417    5180283.6773421   188583.488431808    345663.987856495
84520568.2389496    156566283.661352   30619698.1764384    77277180.8332376
2087170.82716524    3321164.47072644   699500.485844328    1293465.8799944
4424880.17847473    5497369.04025598   4776333.22486647    9384097.1706435
11054527.9399921    13521500.5584351   12618446.5639099    25849154.1828415
15779820.1273883    24676401.5511888   2514472.05035762    5310829.8483754
41123.9687078295    30096.390204517   12344408.8741378    17154072.7091445
121039317.70526    175136053.511336   30013998.100404    55959338.4368312
0    0   0    0
15526128.005751    23765606.4839769   1631909.30103489    3395065.70898814
31858276.7782195    45619815.1503216   3850406.8417568    8073117.00321458
4225657.27127022    6353591.51108661   772745.475198666    1437987.55759891
9432555.68826397    13430691.2216341   860161.337775812    1640312.66748764
21089091.4426971    28966490.9960757   2793181.72071948    5491608.56334775
10425181.3137265    15577211.1492187   751394.424837052    1477167.08011347
4096888.92680874    4091297.64305702   12623715.7671961    22852438.9885876
26903828.5922174    28650433.2188288   26371066.6563867    53163975.6716094
48920474.7737801    72615857.5880672   4091449.8509569    8641993.19944111
11949050.5288907    18402773.3791687   1759332.74407216    3396181.74753453
16648570.5742797    23871347.218209   1946746.51290613    3985797.81777617
4996979.47065088    6937845.59550786   1009229.54428679    1866321.29420073
3226489.30503461    4544913.66378674   151584.516036447    266202.405766962
6530219.83220052    10967918.267266   978559.34941359    1979476.57010176
3247893.9966611    3314468.13948403   6367287.97109018    11871900.1688233
8088637.58508435    12398368.6694639   766928.619524125    1500149.29798617
36980845.7014489    56761532.1089527   3689348.3570041    8037405.61886114
30713573.5731563    41765470.2947018   4468119.82676503    8806703.58727838
3036468.75504515    4282878.14161987   308230.632077303    551616.143639549
22747663.9051438    33254901.241777   3061485.12975372    6186457.38270138
61019326.9733053    86489100.980402   7388827.08841454    15718388.4381366
26567474.5265605    42851649.8797382   4195625.06634188    9163351.95390081
10010817.2497263    14327391.4788326   1737070.08511764    3345324.5924438
20142046.7844849    29683745.1590995   6114276.44089911    12701733.8778481
5244493.28000303    7680628.03840632   474118.464710775    891508.753760755
7092524.14049821    9820449.604535   506630.097830918    914307.63486021
5488159.4426054    5199239.44018168   13846.0512838117    24426.4367987554
10690532.0003915    15203609.1151383   1460675.42677725    2746340.73884154
9618046.16546075    10293989.4439228   8093289.99492896    15577025.219255
2843336.29137025    4122634.90362042   821913.633262836    1499357.69801464
29128503.5933547    35120004.7195137   21531505.572495    45953387.8301899
14138708.4635793    23793370.8659549   2819099.45966272    5714208.5982802
6732545.57715266    10094718.003102   1002526.23997492    1901454.24738684
16542833.879642    23140553.5955073   1715364.97636162    3376993.31587702
1675761.29900366    1569985.42137576   17035809.5614165    28107444.1580798
7261797.26531639    10233928.6583986   446535.352684383    827591.495953246
26896333.2871055    33352157.3475821   5914961.92878019    11933326.2813355
4842315.82664973    6716759.88760763   623137.053585881    1103073.66931199
166141549.828478    227587318.733571   32039626.8883587    65991053.5997986
1878477.24756106    2439595.58510424   252151.407258081    459744.901350184
6173095.4380356    10779974.604331   2510952.64195018    4882829.01337825
13108215.6517087    20044501.4529164   1364803.33542424    2566050.24519839
338.949582244197    476.695821532409   0    0
15961979.7631152    22823607.2573243   2192885.87498108    4358185.00260276
56160939.3863094    102527496.687518   14766767.2099077    35183317.5919948
19162320.6869262    28077835.8658686   2814634.80694309    5663786.32042555
34036641.4306921    44572716.5560294   6039762.72625676    12529992.3056453
52486953.3685092    112516612.173206   22079879.2624742    57648647.9724392
59955857.1199045    113608835.546778   21702923.8821583    56875776.0981566
17012432.0007426    22352960.0781858   1408494.24587997    2847758.71381917
33727673.8849903    59331716.3158767   5826331.94700084    12943822.4933956
14901141.9778913    20003590.2219861   1632450.38649782    3118322.61959491
11068549.1988803    16214028.3084779   1324428.15347199    2724209.6036416
1254015.94072742    1907110.36048926   20082.8837023023    35912.1404661618
3751733.73631471    5553810.81960727   399696.10525276    732645.041865362
18244091.8707141    25839005.9559011   2233525.77947765    4534705.86617863
5384790.40966118    5119193.67809613   0    0
24683006.0385712    32629948.4257141   2488434.15561564    4865977.99913143
10560800.1598249    13120393.0012098   4812152.98921793    9486049.20158287
23563051.2744894    32856940.5786345   2741176.09604138    5415359.65035807
7599933.89848329    8505216.81728752   43351.4654570178    77362.7304514593
31595168.4019898    46860354.8508566   3120819.34243562    6575307.70584085
4866979.49480272    6932644.95979343   598390.772557035    1096103.89790722
67173147.1491534    103910269.683108   9352821.36526673    20970693.8261929
7612536.64977992    10764577.7682614   834774.834769609    1629071.59536406
3407643.92069408    4960161.72015634   385474.527359573    706415.460325558
199996002.761338    273594468.674441   35186944.4105885    81814032.1211053
22501845.5001097    34135396.3404955   3695278.15064918    7539886.58555337
20501163.1624329    23889306.5278413   9474523.00505041    19171998.1111022
5096344.98119699    8495535.79802992   990351.810605491    1851320.36105837
10972732.6441706    15280041.0255992   1509532.39109957    2798104.98395562
6185837.85946348    8948665.21901816   1754269.18009714    3235875.65405186
11066830.2188714    12082613.678967   9535444.70433964    19648556.2531028
7926809.07587921    12348842.910199   560547.53865808    1118002.55128042
2327994.94252662    3144080.44858722   483137.2733525    857827.378145394
6576906.44266759    6682964.87537597   7164101.6024742    13838615.5372476
10685277.2537178    15266794.7897381   694293.68605439    1415324.78973623
20293349.3699023    25634936.7263808   3374873.92537212    6558840.79119408
14867343.0255168    20558669.5290127   1581564.10940425    3150017.80297635
20690841.1712165    31478976.4647988   3228953.51181171    6751876.52501963
17586910.7808098    27899974.8689927   2994376.60519083    5782325.419746
185906772.6724    270203556.654787   34874701.0476898    81275635.2750427
8870939.52785602    12624729.7335369   1265921.34358183    2356737.88366751
5739040.83146696    6426196.20228527   11815122.9569673    24254727.0926913
17533677.5664589    24550719.2461586   1430763.28818404    2729322.42442762
25873399.9005916    38038989.0992792   5816784.03997293    9800861.69112051
3859959.75908427    6040168.78984398   1023311.91127693    1910112.72477842
22011718.4291204    30641677.9151363   6011942.21807564    12235268.967403
1351790.69229244    2071701.59258738   36694.5490839236    64850.9595918737
18716414.6176025    24652145.9096423   1497873.84399902    3089954.10404743
11861566.9669502    16586655.3160138   1256304.62576375    2333328.10977905
11862941.4336214    17937518.8510993   359802.76958887    682501.268342943
6658921.3229526    7903361.3596007   3230803.4671268    6523086.79430738
4326452.82914903    6322742.78975171   1464720.24372111    2705978.57037765
8119110.21639452    11911527.8747216   1423500.24812633    2807473.80350698
7510300.55558595    10763001.9251168   689594.426782623    1382784.46331678
5914118.18349092    6561031.05066541   5309537.06174268    10134657.3169534
12571215.2975178    14666462.6459101   9633720.21736965    19066999.2112207
6357269.5204246    9693142.16540222   1005073.94539759    1853819.11080385
54022313.2023371    127527446.831976   26172246.1613389    68660160.8508891
82533.7769602094    70366.9854159396   7655500.41712386    12184056.3211591
162633326.496531    219246526.654607   34919999.7383333    70608156.4156365
26513842.2573251    41819950.5658695   4565159.98807258    9140034.88295434
4633835.36646297    6318941.55721061   1087936.56122079    2028434.73953216
5120614.84722058    6312234.06998087   5646060.07038858    11417967.4943531
19486050.4072511    25365445.3149239   3173188.84464525    6816535.79235651
153254310.497997    244070432.192462   37888712.2763552    90541089.3447728
30221371.0156571    42936474.9193077   2113438.072901    4549434.40213073
6964929.73631681    9675971.17364179   684045.556100884    1340882.11781975
28717460.6467015    34756972.0138916   11541478.102605    23942530.2635503
17274778.373183    28705413.7011506   2422366.82504858    5206321.16694387
3540903.35951717    3405661.09711359   0    0
38397912.753521    58057473.8403429   4326798.75080681    9522152.09443483
1853067.28460706    2555712.97498198   230605.470458875    406737.157447399
92105555.1039897    140052831.578323   14214874.1883122    31238301.4252375
16569486.4646412    23871157.4399384   1920009.01237334    3866820.77521681
6758685.07403246    6373724.64836328   10911001.6191599    21297655.9471868
11806079.0685874    16371054.4372416   2689178.49657762    5058322.44016554
25673086.2277423    31313568.0528883   0    0
9538576.99907082    13698810.7851404   1156850.39914983    2195370.12889976
27053293.2989883    38034380.9277424   4859419.70524094    8513994.02075625
73457753.8543846    135884395.818373   27114178.5675025    68404125.8240444
5188019.36883914    7158100.03862807   1188903.77776928    2159350.57237163
17385976.7080117    19355288.2145395   4956724.00940719    9865350.9052584
3185143.14999649    4731266.74238616   1483805.79429328    2652070.5117353
20043305.6908922    25699245.8609325   1396997.74287401    2755892.42800346
3073741.41165566    2592901.07248595   28599207.7749418    46548105.9062989
45752503.1137586    61970492.6734954   4973272.69795237    10482695.5941441
13226454.4573542    16606978.5231414   3473307.30082813    7224050.78897572
7446872.20288342    11448446.2863241   431966.954220338    816860.014158638
122786552.703496    173936589.09467   20116898.8625294    42126999.1483295
18835951.6908252    29904699.9469871   2872413.68501144    5726733.32840684
15492665.8644341    21541051.0890245   2477577.8227279    4925124.30591024
9535766.560784    14737234.1982227   956340.384072925    1787839.77617912
13320307.0453715    14335254.250078   9623271.12324343    19146008.8959048
5228954.4081759    9451919.76979642   1198942.10224157    2452816.98951277
53564883.2598737    107331372.579026   24426996.1902159    64140515.0550422
423698.972923177    403858.833770398   0    0
1803249.73795397    2528376.93818278   229254.975162989    418580.487377489
3533734.3105878    5148621.03372199   522376.542180032    967099.554394678
71003912.8481927    96404255.9405064   6397692.08995298    14046726.9729384
23763476.5030107    38490155.5051892   3352874.48718156    7187764.11836955
7414668.61402464    10744954.4691106   1047414.18880934    1922871.6169205
52718699.0635478    74509411.9592269   7392700.69730483    15649130.7567562
6502935.72535595    9715066.92951004   638502.155442772    1254829.67024307
3778294.64341622    5285656.53609421   1409585.93731664    2544431.3986724
11449425.0200459    16172753.7236819   1562494.33355264    2951425.24945175
8635228.30719575    12650081.3230718   886424.666787052    1668505.21969578
28503919.0884215    37300789.0742328   5761355.84908842    11731946.447063
11557006.7421511    15200571.9172263   1280790.58307997    2600923.33758941
4439917.76256565    6004519.61609467   300055.964344908    549670.945620058
36841730.2691548    49402513.586037   5177572.58062272    10482124.2389556
4509494.17512337    7610830.94661933   1086695.97434746    2061387.21546211
8024975.97808292    10806442.4458207   163217.296097552    299000.097559219
55654654.7560078    87340203.8150932   7815567.49907834    17412039.1149212
39591405.7886528    97585418.6590329   25690303.1648827    63820405.5354793
47876929.4611578    63919760.6368125   6571066.34512806    13711719.1878523
68474653.5549936    116296782.48798   17029523.314484    41446933.4834133
1840760.86771088    2014430.04642715   9625100.57559088    19256492.524746
12326514.2862958    17352173.9796577   1802118.88292139    3529516.90184951
7839540.89939201    10537815.1680695   2660238.28421063    4924825.7286811
7901599.74896785    10138527.1279541   2475712.50523931    5194751.61009288
225837157.36376    309117980.056539   37444533.7853505    87190934.3141548
17474043.2551572    25516945.7005429   1679016.2448903    3430715.43034131
217395429.258736    280018122.990307   43703031.0897013    81672744.4395102
89240408.3951548    134665867.289392   18890039.4529525    36371526.5998682
16132161.598396    21739709.3397407   1694563.24209855    3207733.49635841
